Name,Monthly visitors,Main product type(s) sold,Marketplace domain,How to sell
Teachers Pay Teachers,17540000,Teaching resources & study notes,www.teacherspayteachers.com/,www.teacherspayteachers.com/become-a-seller
TES,3317000,Teaching resources & study notes,www.tes.com/,www.tes.com/authn/register
Studypool,1149000,"Teaching resources, tuition services & study notes",www.studypool.com/,www.studypool.com/sell_docs
Stuvia,880702,Study notes,www.stuvia.com,www.stuvia.com/sell-study-notes
Classful,148000,Teaching resources & courses,classful.com/,classful.com/sell-products/
Teach Simple,93099,Teaching resources,https://teachsimple.com/,teachsimple.com/become-a-contributor
Teachit,89763,Teaching resources,www.teachit.co.uk,www.teachit.co.uk/share-your-resources
Udemy,72460000,Online courses (mixed),www.udemy.com/,www.udemy.com/teaching
Domestika,6536000,Creative online courses,www.domestika.org,www.domestika.org/en/teachers
Alison,5526000,Online courses (mixed),alison.com,alison.com/publish
Skillshare,2694000,Creative online courses,www.skillshare.com/,skillshare.com/teach
Simplilearn,2173000,Online courses (IT & business),www.simplilearn.com/,www.simplilearn.com/become-our-trainer
Sendowl,774928,Online courses (mixed) & digital downloads,www.sendowl.com/marketplace,dashboard.sendowl.com/login
Itch.io,48560000,Indie games,itch.io,itch.io/developers
Cults 3D,14870000,3D printer & laster cutting files,cults3d.com,cults3d.com/en/upload
Artstation,14570000,"3D models, artwork, gaming assets & files",www.artstation.com/marketplace,www.artstation.com/marketplace/game-dev/start-selling
Sketchfab,13170000,3D models,sketchfab.com/,www.fab.com/become-a-publisher
GOG,11880000,Games & mods,www.gog.com,www.gog.com/submit-your-game
CG Trader,4448000,3D assets for gaming & printing,www.cgtrader.com/,www.cgtrader.com/pages/sell-3d-models
Unity Asset Store,3443000,"3D models, artwork, gaming assets & files",assetstore.unity.com,assetstore.unity.com/publishing/publish-and-sell-assets
My Mini Factory,2812000,3D assets for gaming & printing,www.myminifactory.com/,www.myminifactory.com/join-the-store
Turbosquid,2795000,3D models,www.turbosquid.com,www.turbosquid.com/PublishYourStuff
Superhive,2125000,Blender assets,superhivemarket.com,superhivemarket.com/become-a-creator
Blenderkit,1270000,Blender assets,www.blenderkit.com/,www.blenderkit.com/become-creator
Cubebrush,544661,"Stock, game assets, 3D models, tutorials & gaming add-ons",cubebrush.co,cubebrush.co/open_store
Flipped Normals,411075,"3D models, brushes, tutorials & other gaming assets",flippednormals.com/,flippednormals.com/open-store
3D Ocean (Envato Marketplace),171550,"3D models, textures, plugins",3docean.net,author.envato.com/
Wordpress Plugin store,9171000,Wordpress themes & plugins,wordpress.org/plugins/ | wordpress.com/plugins,wordpress.org/plugins/developers/
Shopify App Store,7503000,"Shopify apps, themes & stores",apps.shopify.com/,www.shopify.com/partners
Webflow marketplace,6400000,"Webflow apps, templates & assets",webflow.com/marketplace,developers.webflow.com/
Themeforest (Envato Marketplace),5300000,Site themes & templates,themeforest.net,author.envato.com/
Framer marketplace,4752000,"Framer templates, plugins & assets",www.framer.com/marketplace,www.framer.com/creators
Codecanyon (Envato Marketplace),2876000,"Code, apps, plugins",https://codecanyon.net/,author.envato.com/
Appsumo,2462000,"Software, pdfs, ebooks, courses",appsumo.com/,sell.appsumo.com
Digital Ocean Marketplace,89346,Software,marketplace.digitalocean.com/,marketplace.digitalocean.com/vendors
